t,x,y,psi,u,v,r
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
0.010000,0.000000000e+00,3.737531250e-06,0.000000000e+00,0.000000000e+00,7.462624688e-04,0.000000000e+00
0.020000,0.000000000e+00,1.490049813e-05,0.000000000e+00,0.000000000e+00,1.485099502e-03,0.000000000e+00
0.030000,0.000000000e+00,3.341501632e-05,0.000000000e+00,0.000000000e+00,2.216584984e-03,0.000000000e+00
0.040000,0.000000000e+00,5.920793667e-05,0.000000000e+00,0.000000000e+00,2.940792063e-03,0.000000000e+00
0.050000,0.000000000e+00,9.220683785e-05,0.000000000e+00,0.000000000e+00,3.657793162e-03,0.000000000e+00
0.060000,0.000000000e+00,1.323400192e-04,0.000000000e+00,0.000000000e+00,4.367659981e-03,0.000000000e+00
0.070000,0.000000000e+00,1.795364934e-04,0.000000000e+00,0.000000000e+00,5.070463507e-03,0.000000000e+00
0.080000,0.000000000e+00,2.337259795e-04,0.000000000e+00,0.000000000e+00,5.766274021e-03,0.000000000e+00
0.090000,0.000000000e+00,2.948388959e-04,0.000000000e+00,0.000000000e+00,6.455161104e-03,0.000000000e+00
0.100000,0.000000000e+00,3.628063533e-04,0.000000000e+00,0.000000000e+00,7.137193647e-03,0.000000000e+00
0.110000,0.000000000e+00,4.375601479e-04,0.000000000e+00,0.000000000e+00,7.812439852e-03,0.000000000e+00
0.120000,0.000000000e+00,5.190327545e-04,0.000000000e+00,0.000000000e+00,8.480967246e-03,0.000000000e+00
0.130000,0.000000000e+00,6.071573198e-04,0.000000000e+00,0.000000000e+00,9.142842680e-03,0.000000000e+00
0.140000,0.000000000e+00,7.018676557e-04,0.000000000e+00,0.000000000e+00,9.798132344e-03,0.000000000e+00
0.150000,0.000000000e+00,8.030982327e-04,0.000000000e+00,0.000000000e+00,1.044690177e-02,0.000000000e+00
0.160000,0.000000000e+00,9.107841733e-04,0.000000000e+00,0.000000000e+00,1.108921583e-02,0.000000000e+00
