t,x,y,psi,u,v,r
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
0.010000,6.798196395e-05,0.000000000e+00,0.000000000e+00,1.357645111e-02,0.000000000e+00,0.000000000e+00
0.020000,2.711319460e-04,0.000000000e+00,0.000000000e+00,2.703377859e-02,0.000000000e+00,0.000000000e+00
0.030000,6.082639436e-04,0.000000000e+00,0.000000000e+00,4.037302767e-02,0.000000000e+00,0.000000000e+00
0.040000,1.078202361e-03,0.000000000e+00,0.000000000e+00,5.359523441e-02,0.000000000e+00,0.000000000e+00
0.050000,1.679781916e-03,0.000000000e+00,0.000000000e+00,6.670142576e-02,0.000000000e+00,0.000000000e+00
0.060000,2.411847554e-03,0.000000000e+00,0.000000000e+00,7.969261968e-02,0.000000000e+00,0.000000000e+00
0.070000,3.273254351e-03,0.000000000e+00,0.000000000e+00,9.256982519e-02,0.000000000e+00,0.000000000e+00
0.080000,4.262867433e-03,0.000000000e+00,0.000000000e+00,1.053340425e-01,0.000000000e+00,0.000000000e+00
0.090000,5.379561880e-03,0.000000000e+00,0.000000000e+00,1.179862629e-01,0.000000000e+00,0.000000000e+00
0.100000,6.622222645e-03,0.000000000e+00,0.000000000e+00,1.305274691e-01,0.000000000e+00,0.000000000e+00
0.110000,7.989744464e-03,0.000000000e+00,0.000000000e+00,1.429586353e-01,0.000000000e+00,0.000000000e+00
0.120000,9.481031771e-03,0.000000000e+00,0.000000000e+00,1.552807269e-01,0.000000000e+00,0.000000000e+00
0.130000,1.109499861e-02,0.000000000e+00,0.000000000e+00,1.674947009e-01,0.000000000e+00,0.000000000e+00
0.140000,1.283056856e-02,0.000000000e+00,0.000000000e+00,1.796015061e-01,0.000000000e+00,0.000000000e+00
0.150000,1.468667464e-02,0.000000000e+00,0.000000000e+00,1.916020828e-01,0.000000000e+00,0.000000000e+00
0.160000,1.666225923e-02,0.000000000e+00,0.000000000e+00,2.034973630e-01,0.000000000e+00,0.000000000e+00
0.170000,1.875627399e-02,0.000000000e+00,0.000000000e+00,2.152882707e-01,0.000000000e+00,0.000000000e+00
0.180000,2.096767979e-02,0.000000000e+00,0.000000000e+00,2.269757215e-01,0.000000000e+00,0.000000000e+00
0.190000,2.329544660e-02,0.000000000e+00,0.000000000e+00,2.385606234e-01,0.000000000e+00,0.000000000e+00
0.200000,2.573855343e-02,0.000000000e+00,0.000000000e+00,2.500438761e-01,0.000000000e+00,0.000000000e+00
0.210000,2.829598827e-02,0.000000000e+00,0.000000000e+00,2.614263715e-01,0.000000000e+00,0.000000000e+00
0.220000,3.096674795e-02,0.000000000e+00,0.000000000e+00,2.727089936e-01,0.000000000e+00,0.000000000e+00
0.230000,3.374983815e-02,0.000000000e+00,0.000000000e+00,2.838926189e-01,0.000000000e+00,0.000000000e+00
0.240000,3.664427324e-02,0.000000000e+00,0.000000000e+00,2.949781158e-01,0.000000000e+00,0.000000000e+00
0.250000,3.964907624e-02,0.000000000e+00,0.000000000e+00,3.059663454e-01,0.000000000e+00,0.000000000e+00
0.260000,4.276327877e-02,0.000000000e+00,0.000000000e+00,3.168581612e-01,0.000000000e+00,0.000000000e+00
0.270000,4.598592091e-02,0.000000000e+00,0.000000000e+00,3.276544092e-01,0.000000000e+00,0.000000000e+00
0.280000,4.931605119e-02,0.000000000e+00,0.000000000e+00,3.383559278e-01,0.000000000e+00,0.000000000e+00
0.290000,5.275272648e-02,0.000000000e+00,0.000000000e+00,3.489635482e-01,0.000000000e+00,0.000000000e+00
0.300000,5.629501191e-02,0.000000000e+00,0.000000000e+00,3.594780944e-01,0.000000000e+00,0.000000000e+00
0.310000,5.994198084e-02,0.000000000e+00,0.000000000e+00,3.699003830e-01,0.000000000e+00,0.000000000e+00
0.320000,6.369271474e-02,0.000000000e+00,0.000000000e+00,3.802312234e-01,0.000000000e+00,0.000000000e+00
0.330000,6.754630316e-02,0.000000000e+00,0.000000000e+00,3.904714182e-01,0.000000000e+00,0.000000000e+00
0.340000,7.150184361e-02,0.000000000e+00,0.000000000e+00,4.006217626e-01,0.000000000e+00,0.000000000e+00
0.350000,7.555844154e-02,0.000000000e+00,0.000000000e+00,4.106830450e-01,0.000000000e+00,0.000000000e+00
0.360000,7.971521024e-02,0.000000000e+00,0.000000000e+00,4.206560468e-01,0.000000000e+00,0.000000000e+00
0.370000,8.397127079e-02,0.000000000e+00,0.000000000e+00,4.305415427e-01,0.000000000e+00,0.000000000e+00
0.380000,8.832575197e-02,0.000000000e+00,0.000000000e+00,4.403403005e-01,0.000000000e+00,0.000000000e+00
0.390000,9.277779021e-02,0.000000000e+00,0.000000000e+00,4.500530812e-01,0.000000000e+00,0.000000000e+00
0.400000,9.732652952e-02,0.000000000e+00,0.000000000e+00,4.596806392e-01,0.000000000e+00,0.000000000e+00
0.410000,1.019711214e-01,0.000000000e+00,0.000000000e+00,4.692237223e-01,0.000000000e+00,0.000000000e+00
0.420000,1.067107249e-01,0.000000000e+00,0.000000000e+00,4.786830717e-01,0.000000000e+00,0.000000000e+00
0.430000,1.115445062e-01,0.000000000e+00,0.000000000e+00,4.880594221e-01,0.000000000e+00,0.000000000e+00
0.440000,1.164716391e-01,0.000000000e+00,0.000000000e+00,4.973535017e-01,0.000000000e+00,0.000000000e+00
0.450000,1.214913044e-01,0.000000000e+00,0.000000000e+00,5.065660324e-01,0.000000000e+00,0.000000000e+00
0.460000,1.266026903e-01,0.000000000e+00,0.000000000e+00,5.156977298e-01,0.000000000e+00,0.000000000e+00
0.470000,1.318049919e-01,0.000000000e+00,0.000000000e+00,5.247493031e-01,0.000000000e+00,0.000000000e+00
0.480000,1.370974116e-01,0.000000000e+00,0.000000000e+00,5.337214553e-01,0.000000000e+00,0.000000000e+00
0.490000,1.424791586e-01,0.000000000e+00,0.000000000e+00,5.426148833e-01,0.000000000e+00,0.000000000e+00
0.500000,1.479494492e-01,0.000000000e+00,0.000000000e+00,5.514302779e-01,0.000000000e+00,0.000000000e+00
0.510000,1.535075063e-01,0.000000000e+00,0.000000000e+00,5.601683237e-01,0.000000000e+00,0.000000000e+00
0.520000,1.591525601e-01,0.000000000e+00,0.000000000e+00,5.688296994e-01,0.000000000e+00,0.000000000e+00
0.530000,1.648838470e-01,0.000000000e+00,0.000000000e+00,5.774150778e-01,0.000000000e+00,0.000000000e+00
0.540000,1.707006105e-01,0.000000000e+00,0.000000000e+00,5.859251256e-01,0.000000000e+00,0.000000000e+00
0.550000,1.766021006e-01,0.000000000e+00,0.000000000e+00,5.943605038e-01,0.000000000e+00,0.000000000e+00
0.560000,1.825875739e-01,0.000000000e+00,0.000000000e+00,6.027218677e-01,0.000000000e+00,0.000000000e+00
0.570000,1.886562934e-01,0.000000000e+00,0.000000000e+00,6.110098665e-01,0.000000000e+00,0.000000000e+00
